Country Name,Country Code,Country Code.1,Region,Income Group,Sub-Region,INFORM: Hazard & Exposure risk score,INFORM: Vulnerability risk score,INFORM: Lack of Coping Capacity risk score,INFORM: Epidemic risk score,INFORM: Epidemic risk class,Death by communicable diseases (% of total),Diabetes prevalence (% of population ages 20 to 79),"Employment in agriculture, female (%)","Employment in agriculture, male (%)","Employment in industry, female (%)","Employment in industry, male (%)","Employment in services, female (%)","Employment in services, male (%)",Fixed broadband subscriptions (# per 100 people),Fixed telephone subscriptions (# per 100 people),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"GNI, PPP (current international $)","GNI per capita, PPP (current international $)","Labor force, total (#)",Mobile subscriptions (# per 100 people),Net migration (#),Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Urban population (%),"Population, total (#)",Refugee population by country of asylum (#),"Wage and salaried workers, female (%)","Wage and salaried workers, male (%)",Handwashing with soap (%),Government health expenditure (%),Hospital bed density (#),"Medical doctors (# per 10,000)",Medical doctors (#),"Nursing and midwife personnel (# per 10,000)",Nurses (#),Policies to implement IHR (score out of 100),Financing to implement IHR (score out of 100),Financing to respond to health emergencies (score out of 100),IHR coordination (score out of 100),Lab testing access (score out of 100),Early warning surveillance (score out of 100),Mechanism for event management (score out of 100),Human Resources to implement IHR (score out of 100),Emergency preparedness planning (score out of 100),Management of health emergency response (score out of 100),Emergency resource mobilization (score out of 100),IHR case management (score out of 100),Infection prevention and control (score out of 100),Access to essential health services (score out of 100),Risk communication capacity (score out of 100),Transportation capacity (score out of 100),Health response at points of entry (score out of 100),Detection resources and alert (score out of 100),People affected by Natural Disasters.1,People affected by Natural Disasters.2,Humanitarian Aid (FTS).1,INFORM: Region Hazard & Exposure risk score,INFORM: Region Vulnerability risk score,INFORM: Region Lack of Coping Capacity risk score,INFORM: Region Epidemic risk score,INFORM: Income Group Hazard & Exposure risk score,INFORM: Income Group Vulnerability risk score,INFORM: Income Group Lack of Coping Capacity risk score,INFORM: Income Group Epidemic risk score,INFORM: Hazard & Exposure risk class,INFORM: Vulnerability risk class,INFORM: Lack of Coping Capacity risk class
Costa Rica,CRI,CRI,Latin America & Caribbean,Upper middle income,Central America,3.9,3.9,2.8,3.5,Medium,6.4,9.1,4.221000195,16.88400078,21.05600035,25.11000061,84.8710022,58.00600052,16.69754679,15.48779154,2.633984968,12027.36588,1.618061785,83474844127.0,16700,2474024,169.9306983,21000,21.32474411,69.12540822,9.549847673,34.22982053,4999441,4547,77.05599976,73.54399872,98,23.34,12,28.939,14468,34.144,17070,100,80,100,100,100,60,80,80,40,80,80,80,60,80,80,60,60,80,125190,4852,111.96,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,Medium,Low
Cote d'Ivoire,CIV,CIV,Sub-Saharan Africa,Lower middle income,Western Africa,6.6,5.7,6.2,6.2,High,52.4,2.4,31.05900002,46.4469986,71.18599892,14.982999800000002,58.32500076,38.56999969,0.7017287729999999,1.206251648,7.433071625,1715.531332,4.725692099,101000000000.0,4020,8536685,134.8579514,-40000,41.93697214,55.20408485,2.858943015,38.6552483,25069229,1810,17.34300041,34.30199814,32,7.35,4,2.314,5240,6.047999999999999,15163,20,60,20,20,100,40,20,80,20,60,20,40,20,20,20,40,20,100,25000,0,26.34,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Very High,High,High
Croatia,HRV,HRV,Europe & Central Asia,High income: nonOECD,Southern Europe,2.4,4.2,3.0,3.1,Low,2.3,5.4,4.696000099,7.02699995,7.271000266000001,37.98500061,80.30400085,54.98899841,27.12899729,32.61621521,2.630785623,14909.69319,3.5124607169999997,111000000000.0,27180,1780110,105.5834549,-40004,14.51194001,65.04262698,20.44543301,29.43961051,4087843,787,90.1289978,86.21900177,97,13.99,56,29.996,12624,81.22399999999999,34184,100,60,80,100,100,100,80,80,60,60,40,60,60,100,80,80,80,80,471,65,0.0,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,,,,,Low,Medium,Low
Cuba,CUB,CUB,Latin America & Caribbean,Upper middle income,Caribbean,3.6,4.5,1.6,3.0,Low,8.4,9.6,7.321000099,23.86800003,23.097999100000003,21.03700066,82.46299744,55.09500122,0.871730745,12.74001524,2.248480393,8821.818890999999,2.258589685,0.0,0,5098232,47.39153727,-72000,16.21123899,68.60254959,15.18621142,24.45993565,11338138,287,87.29100037,64.57800293,93,18.01,52,84.21799999999999,95487,75.61399999999999,85732,20,80,60,20,100,80,80,80,100,100,100,100,100,100,100,100,100,60,40540,10111,44.61,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,Medium,Very Low
Cyprus,CYP,CYP,Europe & Central Asia,High income: nonOECD,Western Asia,2.9,4.8,2.6,3.3,Low,4.1,9.0,0.953999996,3.010999918,11.06000042,25.02899933,92.83200073,71.95999908,36.27192779,36.05172414,4.060191762,28689.69858,2.745155679,34697802147.0,39880,629329,138.900486,25000,16.78784796,69.49309027,13.71906177,0.0,1189265,11014,89.9260025,84.10900116,99,7.58,34,19.509,2283,52.512,6145,100,20,80,100,80,60,40,100,80,100,80,40,60,80,60,60,100,100,0,0,0.0,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,,,,,Low,Medium,Low
Czech Republic,CZE,CZE,Europe & Central Asia,High income: OECD,Eastern Europe,2.8,3.3,2.7,2.9,Low,5.4,7.0,1.6829999690000002,3.549000025,13.68100014,48.23199844,74.65699768,48.21900177,30.21688169,14.1757715,2.9577844730000002,23078.57349,2.65491944,399000000000.0,37530,5424875,119.1135078,110057,15.58660552,64.99251759,19.42087689,16.47195932,10629928,2186,87.71499634,79.57299805,99,14.91,65,41.208,43951,83.955,85372,100,20,40,100,100,100,20,80,40,80,80,80,100,100,40,20,20,80,0,0,0.0,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Low,Low,Low
Democratic Republic of the Congo,COD,COD,Sub-Saharan Africa,Low income,Middle Africa,7.6,6.5,7.4,7.2,Very High,61.7,6.0,72.65000153,58.56000137,79.67399788,15.70899963,23.86400032,25.73200035,0.005495545,0.0,5.757932737999999,561.7771824,2.399910664,75581872085.0,900,29741467,43.38221502,119303,46.16564209,50.81651729,3.017840622,35.23924133,84068091,529061,8.722000122,27.46299934,20,11.06,8,0.74,5832,11.100999999999999,93326,40,40,0,40,40,60,20,60,40,20,40,40,20,20,20,40,20,20,18259,802344,0.0,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Very High,Very High,Very High
Denmark,DNK,DNK,Europe & Central Asia,High income: OECD,Northern Europe,3.9,3.6,0.9,2.3,Low,6.5,8.3,0.9440000059999999,3.298000097,4.89500007,27.32699966,90.48600006,69.375,44.05932693,19.6634077,2.391329685,61350.347910000004,1.817932898,327000000000.0,56410,3026283,125.11895600000001,75998,16.45826256,63.7287848,19.81295264,25.92677362,5793636,36631,94.85900116,89.36699677,100,16.77,25,40.099000000000004,22902,103.195,56991,100,100,80,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,0,0,-82.67,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Medium,Medium,Very Low
Djibouti,DJI,DJI,Middle East & North Africa,Lower middle income,Eastern Africa,5.0,6.3,6.2,5.8,High,45.2,5.1,31.01199913,34.51399994,44.74099922,16.74399948,61.48600006,48.74200058,2.660067597,3.8433742860000004,5.460190759,3082.543099,3.82998552,0.0,0,415074,41.19590415,4501,29.57411596,65.89830466,4.527579378,75.29494422,958920,18295,44.76300049,58.25999832,64,14.14,14,2.237,201,7.287999999999999,488,40,20,20,60,60,60,60,20,20,20,20,40,20,40,20,40,20,40,25000,400000,435.61,4.500000000000001,4.6049999999999995,3.7050000000000005,4.154999999999999,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,High,High,High
Dominican Republic,DOM,DOM,Latin America & Caribbean,Upper middle income,Caribbean,4.7,4.3,4.9,4.6,Medium,15.8,8.6,1.2799999709999998,14.02900028,40.39999998,26.63800049,89.33699799,59.33300018,7.478850615,12.01872639,6.982527584,8050.6316019999995,5.834559566,180000000000.0,16950,4993882,84.10208352,-150000,27.977129499999997,64.94005302,7.082817476000001,36.8175557,10627165,170,69.51599884,47.5719986,84,17.36,16,15.267999999999999,14983,13.802,14668,60,40,40,20,80,80,60,40,40,60,100,20,20,40,100,60,40,40,15390,16907,24.83,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,Medium,Medium
Ecuador,ECU,ECU,Latin America & Caribbean,Upper middle income,South America,3.9,4.8,3.4,4.0,Medium,15.1,5.5,26.36100006,31.13299942,46.72800159,23.50399971,62.94200134,45.36299896,11.43506241,13.81720636,1.37712703,6344.871979,-0.39708990299999997,195000000000.0,11420,8545573,92.32327021,182000,28.028592,64.81411827,7.157289727,26.58614871,17084357,101564,41.42100143,56.2820015,88,10.23,15,20.368,33589,25.059,42811,100,80,80,100,80,80,80,80,60,100,100,60,60,60,60,80,80,80,0,3264,781.44,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,Medium,Low
"Egypt, Arab Rep.",EGY,EGY,Middle East & North Africa,Lower middle income,Northern Africa,3.6,5.5,3.3,4.0,Medium,10.2,17.2,35.48400116,20.75900078,20.72099972,33.03900146,57.49700165,46.20199966,6.685146788,7.991260389,5.314121037,2549.132252,3.194431298,1190000000000.0,12100,30828442,95.28659682,-190164,33.79872071,60.97149994,5.229779346,47.76496347,98423595,246749,64.89099884,69.7460022,94,5.59,16,4.521,44502,19.262,189579,80,100,100,100,80,100,100,80,100,100,100,100,80,100,60,100,80,60,0,0,1551.61,4.500000000000001,4.6049999999999995,3.7050000000000005,4.154999999999999,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Medium,High,Low
El Salvador,SLV,SLV,Latin America & Caribbean,Lower middle income,Central America,4.3,5.5,3.6,4.4,Medium,10.8,8.8,3.359999895,25.71199989,34.19100094,25.56500053,79.21099854,48.72299957,7.666788252000001,14.3757283,2.538949798,4058.252439,2.017978144,50474288600.0,7860,2789969,146.92210219999998,-202694,27.13208091,64.58082908,8.287090005,23.93164796,6420744,48,54.19300079,66.47799683,87,16.69,13,15.662,9955,18.344,11778,100,100,100,100,100,100,100,100,100,100,100,100,100,100,40,100,100,40,396208,16733,51.99,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Medium,High,Medium
Equatorial Guinea,GNQ,GNQ,Sub-Saharan Africa,High income: nonOECD,Middle Africa,6.7,4.2,7.5,6.0,High,53.4,6.0,42.72200012,42.14500046,77.29000092,23.98600006,46.66400146,33.86899948,0.123760958,0.828740045,-6.128749289,10261.76001,-9.497352682999999,22852131754.0,17460,529818,45.16686721,79998,37.11659887,60.42552379,2.4578773469999997,39.80544998,1308974,0,8.366999626,17.3409996,66,6.96,21,4.0169999999999995,507,5.024,634,20,20,20,20,20,40,40,20,20,20,20,20,20,40,20,20,20,20,0,0,0.0,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,,,,,Very High,Medium,Very High
Estonia,EST,EST,Europe & Central Asia,High income: OECD,Northern Europe,2.3,2.4,2.2,2.3,Low,2.8,4.2,1.588000059,4.668000221000001,6.148999959,41.13199997,81.33899689,54.20000076,33.34797267,26.1308318,4.761158469,23266.34627,4.483568571,46189738291.0,34970,699160,145.4384241,19555,16.35707375,64.01656941,19.62635685,48.0341824,1321977,325,93.25299835,85.82099915,99,13.54,50,44.833,5931,111.55799999999999,13786,100,80,80,60,80,80,80,60,60,80,80,60,80,100,60,60,40,80,0,0,0.23,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Low,Low,Low
Eswatini,SWZ,SWZ,Sub-Saharan Africa,Lower middle income,Southern Africa,5.1,5.1,5.6,5.3,High,53.7,4.5,10.43999958,14.24100018,32.63699913,24.93000031,67.05500031,60.82899857,0.711234392,3.645076258,2.35100982,4145.974112,1.3206453390000001,12086620030.0,10640,374886,93.52732251,-41764,38.11249154,57.87292052,4.014587941,0.0,1136191,879,58.77500153,70.82900238,58,16.58,21,3.285,366,41.415,4706,60,20,40,20,80,80,60,20,20,40,20,20,40,40,20,80,80,40,0,232000,87.17,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,High,High,High
Ethiopia,ETH,ETH,Sub-Saharan Africa,Low income,Eastern Africa,7.4,6.0,5.7,6.3,High,49.0,4.3,58.06100082,73.05599976,85.97100067,10.58100033,32.19900131,16.36300087,0.059163575999999996,1.109963199,6.8101693910000005,772.3135302999999,4.048070238999999,219000000000.0,2010,53195087,37.2180717,150002,40.78298191,55.7158851,3.501132998,19.40037379,109224559,903226,10.74600029,15.79800034,7,15.75,3,0.769,8395,7.135,61772,100,60,100,80,100,60,80,80,80,60,80,80,80,60,80,40,40,40,4021,200871,20391.09,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Very High,High,High
Fiji,FJI,FJI,East Asia & Pacific,Upper middle income,Melanesia,3.9,3.9,3.3,3.7,Medium,10.1,14.7,34.57500076,37.07699966,43.14100075,15.71899986,57.03499985,47.20399857,1.475184016,8.661400389,3.526209372,6266.967965,2.8203192919999998,8959585628.0,10140,362574,117.8305767,-31008,29.5126222,65.03769739,5.449680412999999,0.0,883483,4,51.46099854,57.74599838,95,9.25,23,8.6,747,33.751999999999995,2982,100,100,100,100,100,80,80,40,60,60,40,80,40,60,20,80,100,20,179200,7794,16.28,4.1000000000000005,4.3,3.763636363636363,3.9454545454545453,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,Medium,Low
Finland,FIN,FIN,Europe & Central Asia,High income: OECD,Northern Europe,2.3,3.5,1.0,2.0,Low,1.3,5.6,1.980999947,5.116000175,9.585000366000001,34.62599945,89.22399902,60.25799942,31.45271337,5.848719872999999,1.671438881,50152.34014,1.490208143,268000000000.0,48580,2745494,129.46856680000002,70000,16.14518297,62.13402948,21.72078755,27.14883684,5515525,22295,90.80899811,83.16899872,99,12.35,44,38.118,20956,147.374,81022,100,100,100,100,100,80,80,80,80,100,100,100,100,100,80,100,100,100,0,0,-12.87,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Low,Medium,Very Low
France,FRA,FRA,Europe & Central Asia,High income: OECD,Western Europe,2.8,4.4,1.9,2.9,Low,6.0,4.8,1.355999947,3.450000048,7.428000182000001,29.93899918,89.18499756,66.61100006,44.77576734,59.42405961,1.7248806269999999,41463.64402,1.539463118,3110000000000.0,46360,30454910,108.35735700000001,182636,17.95646444,62.00891081,20.03462475,20.22919758,66977107,368352,91.65299988,85.30200195,99,15.69,65,32.672,212337,114.70700000000001,722572,100,80,20,100,100,100,100,80,100,100,20,80,100,100,80,40,40,100,4256,2242,0.0,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Low,Medium,Very Low
Gabon,GAB,GAB,Sub-Saharan Africa,Upper middle income,Middle Africa,5.2,4.0,6.0,5.0,High,49.9,6.0,47.95100021,24.36100006,31.46399963,15.20199966,49.23600006,60.43700027,1.373063902,1.029503014,0.835804969,7952.525893000001,-1.755039188,35395915103.0,16700,722017,138.2809687,16301,37.0258697,59.41022284,3.563907468,42.95093548,2119275,687,59.4640007,69.90599823,47,7.38,13,6.819,1408,29.46,5350,20,20,20,20,80,40,40,40,20,20,20,20,20,40,20,20,0,20,0,0,0.0,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,3.75,4.3625,3.910416666666666,3.9395833333333345,High,Medium,High
"Gambia, The",GMB,GMB,Sub-Saharan Africa,Low income,Western Africa,7.5,4.7,6.1,6.0,High,54.8,1.9,32.88899994,22.86199951,72.05099964,24.31599998,63.11600113,52.8219986,0.19442180899999997,1.929745002,6.547026565,716.118489,3.4531888619999997,5849125142.0,2570,779341,139.5290282,-15436,44.26874506,53.141273999999996,2.589980939,31.29243861,2280102,4034,15.72900009,34.37799835,39,15.31,11,1.021,213,15.447000000000001,2372,40,20,20,20,40,80,40,80,60,60,20,20,40,40,60,40,40,20,0,0,38.78,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Very High,Medium,High
Georgia,GEO,GEO,Europe & Central Asia,Lower middle income,Western Asia,3.2,4.8,3.3,3.7,Medium,2.7,5.8,44.14799881,39.85800171,49.08399963,20.74600029,50.14300156,39.39599991,20.99962977,15.09759572,4.8,4717.143026,4.715845403,42913436786.0,11500,2032818,136.380667,-50000,19.795240600000003,65.33926797,14.86549143,49.24815776,3726549,1991,49.37200165,48.56700134,90,5.0,26,71.20100000000001,28501,47.293,18440,60,60,80,60,100,60,80,60,60,60,60,60,40,80,20,40,40,20,1143,5088,0.0,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Low,Medium,Low
Germany,DEU,DEU,Europe & Central Asia,High income: OECD,Western Europe,2.8,4.9,1.2,2.5,Low,4.8,10.4,0.81099999,1.557000041,5.620000124,38.64099884,85.49700165,59.80199814,41.11294951,51.12817752,1.527446298,47603.027630000004,1.195762891,4520000000000.0,54560,43406284,129.3242137,2719112,13.6210301,64.9170079,21.461962,5.540389594,82905782,1063837,92.76899719,87.88500214,99,19.65,83,42.488,351195,132.352,1070000,100,100,100,100,100,100,100,80,80,100,80,100,100,100,60,60,60,80,12,0,-164.22,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Low,Medium,Very Low
Ghana,GHA,GHA,Sub-Saharan Africa,Lower middle income,Western Africa,5.9,4.4,5.2,5.1,High,47.5,2.5,22.04100037,35.52600098,68.70099831,20.1609993,54.31900024,44.31299973,0.20935864,0.93519013,6.2634807320000006,2202.312164,3.958667147,139000000000.0,4650,12916874,137.51716580000001,-50000,37.59606159,59.33504041,3.068898007,18.36541624,29767108,11899,17.28100014,32.89500046,18,6.82,9,1.359,3957,42.001000000000005,125024,40,20,40,60,60,80,80,20,40,40,20,40,40,40,80,40,40,40,100000,5159,15.19,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,High,Medium,High
Greece,GRC,GRC,Europe & Central Asia,High income: OECD,Southern Europe,2.7,4.6,2.4,3.1,Low,10.9,4.7,11.33100033,12.43900013,25.79600072,20.49600029,80.97799683,67.06500244,37.652265500000006,48.26044744,1.934370827,20324.25356,2.191029524,318000000000.0,29670,4767741,115.66691180000001,-80000,14.07124487,64.27348306,21.65527208,37.20752546,10731726,61460,71.71600342,63.05199814,99,9.98,43,54.788999999999994,57909,36.330999999999996,35592,100,40,40,60,80,80,80,60,60,60,60,40,60,100,20,60,40,60,4718,123,2531.85,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Low,Medium,Low
Guatemala,GTM,GTM,Latin America & Caribbean,Lower middle income,Central America,4.9,6.0,4.6,5.1,High,25.1,10.0,9.901000023,42.00899887,37.54300117,19.39500046,73.29699707,38.59700012,3.139231107,14.12403947,3.145043317,4549.010081,1.154413801,143000000000.0,8310,7250681,118.6670871,-46073,34.43539539,60.752532099999996,4.812072508,32.3779554,17247807,390,50.26499939,64.23500061,65,17.83,6,3.549,6122,0.737,1271,80,60,60,40,100,80,60,60,60,80,80,40,40,20,40,60,60,40,3291359,21264,545.0,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Medium,High,Medium
Guinea,GIN,GIN,Sub-Saharan Africa,Low income,Western Africa,7.1,5.6,6.1,6.2,High,55.7,2.4,63.22000122,59.94400024,89.37400246,11.12300014,34.70800018,28.93300056,0.009770995,0.0,6.163853325,878.5996133,3.19829413,30577798935.0,2460,4443986,96.76749212,-20000,43.85017334,53.22380421,2.9260224480000003,41.08116843,12414318,4294,3.197000027,14.93599987,23,9.0,3,0.8320000000000001,977,1.238,1010,60,40,60,40,80,80,80,40,40,60,40,40,20,40,40,40,40,20,0,0,58.81,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Very High,High,High
Guinea-Bissau,GNB,GNB,Sub-Saharan Africa,Low income,Western Africa,6.5,5.1,7.1,6.2,High,62.1,2.4,70.67900085,65.80500031,75.73999786,9.597000122,25.14299965,24.59799957,0.064237212,0.0,3.799999992,777.9699218,1.2434741470000001,3367258480.0,1800,799520,78.9888828,-6996,42.33915221,54.83713146,2.8237163360000004,68.70911776,1874309,4850,14.73999977,30.32600021,21,7.79,10,1.274,227,6.851,1284,40,20,20,20,20,20,40,20,20,20,40,20,20,40,40,20,20,20,11541,0,37.33,6.263043478260868,5.606521739130434,6.282608695652174,6.021739130434782,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Very High,High,Very High
Guyana,GUY,GUY,Latin America & Caribbean,Lower middle income,South America,2.3,4.3,5.1,3.7,Medium,20.0,11.6,8.977000237,22.07699966,25.5129993,31.70599937,82.87799835,46.21699905,8.370376486,17.51691773,4.10000155,4979.002188,3.5944710189999998,6559420962.0,8420,317434,82.97107151,-30001,28.2145452,65.33518355,6.4502712429999995,0.0,779004,23,67.51300049,67.56300354,86,9.45,16,8.023,625,10.398,731,100,100,100,100,100,100,100,80,80,40,80,40,80,100,100,100,100,100,0,0,35.87,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Low,Medium,High
Haiti,HTI,HTI,Latin America & Caribbean,Low income,Caribbean,6.7,5.7,6.7,6.3,High,30.3,6.7,12.95600033,41.89300156,72.26900101,10.73400021,85.15899658,47.37400055,0.279596353,0.05324018,1.483879788,868.3420247000001,0.19917970699999998,20876532279.0,1880,5080454,57.52891844,-175000,33.24224426,61.80835189,4.949403848,42.88347608,11123176,8,18.02899933,34.68000031,35,6.14,7,2.343,2606,6.797999999999999,7364,20,20,40,40,100,100,80,40,20,100,20,20,40,20,20,20,0,40,39336,3108,1900.35,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,6.3470588235294105,5.897058823529411,6.447058823529412,6.202941176470589,Very High,High,Very High
Honduras,HND,HND,Latin America & Caribbean,Lower middle income,Central America,4.5,5.4,5.9,5.2,High,14.0,7.3,9.998000145,42.4469986,41.38999939,21.29400063,72.22399902,36.25899887,3.701279642,5.548920774,3.745584746,2500.113213,2.030375238,45956016905.0,4790,4614534,79.15031642,-34000,31.74088153,63.56850081,4.690617659,24.89985554,9587522,27,41.66799927,52.89199829,81,15.4,7,3.089,2913,7.357,7054,100,40,80,20,80,80,60,60,60,60,80,20,40,60,60,40,60,40,366948,71216,177.14,3.774074074074074,4.633333333333334,3.955555555555555,4.055555555555555,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Medium,High,High
Hungary,HUN,HUN,Europe & Central Asia,Upper middle income,Eastern Europe,2.7,3.5,2.8,3.0,Low,1.8,6.9,2.614000082,6.441999912000001,6.024000152999999,43.27399826,77.36699677,50.2840004,31.7234027,31.07780902,5.094002564,16161.98051,5.300354538000001,292000000000.0,29860,4702655,103.4451716,29999,14.41199221,66.4302824,19.15772538,25.24340306,9775564,6040,91.99400329999999,87.73799896,98,10.14,70,34.075,33078,69.157,64695,100,60,80,100,40,100,80,20,40,60,60,80,60,80,60,0,0,60,0,7200,0.0,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.75,4.3625,3.910416666666666,3.9395833333333345,Low,Medium,Low
Iceland,ISL,ISL,Europe & Central Asia,High income: OECD,Northern Europe,3.8,3.6,1.7,2.9,Low,4.4,5.8,1.29400003,6.304999828,8.107999831,24.80599976,91.6210022,68.88899994,40.555606700000006,40.60223395,4.61147603,73191.11632,1.6013079819999998,19514871807.0,55190,214594,126.137096,1900,19.83232011,65.37258734,14.79509256,0.0,352721,573,91.59300232,84.58300018,99,15.73,32,40.778,1373,162.132,5174,80,80,100,100,80,80,80,60,100,100,60,100,80,60,100,80,100,60,0,0,0.0,3.014583333333333,3.8666666666666654,2.7375000000000007,3.0812499999999994,3.0451612903225813,3.8387096774193554,1.77741935483871,2.690322580645161,Medium,Medium,Very Low
India,IND,IND,South Asia,Lower middle income,Southern Asia,4.9,5.4,3.4,4.5,Medium,26.0,10.4,54.53900146,39.32699966,74.26999855,27.58300018,27.85700035,33.09000015,1.343296766,1.616701793,6.811369326,2009.978857,5.709116885,10400000000000.0,7680,494261397,86.94256319,-2663434,27.05330185,66.7667425,6.179955649,6.194644752,1352617328,195891,23.38800049,23.79700089,60,5.05,7,8.571,1159309,17.271,2336204,100,60,80,100,80,100,100,100,80,80,80,40,20,40,80,80,80,80,32361348,23200928,131.13,5.0375000000000005,5.1625,5.175,5.075,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Medium,High,Low
Indonesia,IDN,IDN,East Asia & Pacific,Lower middle income,South-Eastern Asia,4.7,4.8,4.1,4.5,Medium,20.7,6.3,26.49500084,30.02400017,47.8949995,25.97500038,56.47800064,44.00099945,3.315312884,3.102138512,5.171270328,3893.596078,3.9856042260000004,3390000000000.0,12670,134776692,119.33872190000001,-494777,26.55119731,67.59163708,5.857165612999999,7.101962764,267663435,10793,41.29399872,53.19599915,73,5.73,12,4.269,114271,24.149,409950,80,80,80,60,100,80,80,80,80,60,60,80,60,60,80,80,80,40,1134650,916757,914.55,4.1000000000000005,4.3,3.763636363636363,3.9454545454545453,4.732558139534883,5.0023255813953496,5.027906976744186,4.872093023255812,Medium,Medium,Medium
"Iran, Islamic Rep.",IRN,IRN,Middle East & North Africa,Upper middle income,Southern Asia,3.9,5.3,3.1,4.0,Medium,7.9,9.6,20.79299927,17.32699966,41.42499971,31.89800072,54.66199875,50.77500153,11.98789788,37.26364785,3.755187367,5627.749268,2.327694199,1700000000000.0,21050,27903119,108.46239380000002,-274998,24.47655866,69.33886753,6.184573806,14.52002076,81800269,979435,56.69800186,54.35400009,88,17.53,15,15.844000000000001,129604,4.427,0,100,100,100,60,100,60,100,80,100,100,100,100,100,100,80,80,40,100,26148,10026280,574.85,4.500000000000001,4.6049999999999995,3.7050000000000005,4.154999999999999,3.75,4.3625,3.910416666666666,3.9395833333333345,Medium,High,Low
